noByBest	noByAvgBest	noByScore	cp	mp	popSize	maxEvals	mutation	crossover	natSel	genSel	totalBest	avgBest	totalWorst	avgWorst	span	avgSpan	score	duration
0	0	0	0.166667	0.166667	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5	631.062	653.397	5181.45	4995.68	4550.38	4342.28	653.397	00:07:57.525
2	1	1	0.166667	0.1	76	250000	reverseSubsequence	subsequence	Std=Random	Gender=Tourney,5=Tourney,5	660.799	685.932	5289.93	5101.25	4629.13	4415.32	685.932	00:00:12.360
1	2	2	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	GGA=Random	657.084	701.707	5216.59	5014.51	4559.51	4312.8	701.707	00:09:23.236
3	3	3	0.3	0.1	100	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Random	668.545	715.885	5132.86	5012.95	4464.32	4297.06	715.885	00:10:52.121
