noByBest	noByAvgBest	noByScore	cp	mp	popSize	maxEvals	mutation	crossover	natSel	genSel	totalBest	avgBest	totalWorst	avgWorst	span	avgSpan	score	duration
1	0	0	0.166667	0.166667	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5	585.663	597.486	2736.82	2712.68	2151.15	2115.2	597.486	00:04:36.380
2	1	1	0.1	0.1	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Gender=Tourney,3=Tourney,5	587.121	599.632	2778.47	2701.76	2191.35	2102.13	599.632	00:05:33.903
0	2	2	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=RankRoulette	577.644	600.213	2774.25	2727.69	2196.6	2127.47	600.213	00:06:15.558
4	3	3	0.166667	0.1	76	250000	reverseSubsequence	subsequence	Std=Random	Gender=Tourney,5=Tourney,5	589.059	602.547	2834.51	2779.3	2245.45	2176.75	602.547	00:00:05.840
3	4	4	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	GGA=Random	588.512	605.009	2806.68	2747.44	2218.17	2142.43	605.009	00:05:15. 49
6	5	5	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Tourney,5	597.228	608.348	2773.69	2719.68	2176.46	2111.33	608.348	00:05:00.202
5	6	6	0.1	0.1	100	250000	reverseSubsequence	subsequence	Std=Random	NoGender=Tourney,5	589.599	615.193	2865.96	2811.65	2276.36	2196.46	615.193	00:00:07.196
7	7	7	0.3	0.1	100	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Random	598.985	618.951	2780.28	2709.28	2181.3	2090.33	618.951	00:06:06.775
