noByBest	noByAvgBest	noByScore	cp	mp	popSize	maxEvals	mutation	crossover	natSel	genSel	totalBest	avgBest	totalWorst	avgWorst	span	avgSpan	score	duration
0	0	0	0.166667	0.166667	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5	26642.7	27192.3	186072	184752	159430	157560	27192.3	00:52:10.151
1	1	1	0.166667	0.1	76	250000	reverseSubsequence	subsequence	Std=Random	Gender=Tourney,5=Tourney,5	40756.8	42121.4	190143	186537	149386	144416	42121.4	00:05:22. 37
2	2	2	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	GGA=Random	43794.3	46023.9	187553	185321	143759	139297	46023.9	01:12:17.295
3	3	3	0.3	0.1	100	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Random	63364.9	68775.7	188590	185458	125225	116682	68775.7	01:16:54.737
