noByBest	noByAvgBest	noByScore	cp	mp	popSize	maxEvals	mutation	crossover	natSel	genSel	totalBest	avgBest	totalWorst	avgWorst	span	avgSpan	score	duration
0	0	0	0.166667	0.166667	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5	3291.11	3483.25	36262.4	35678.9	32971.3	32195.6	3483.25	00:17:31.619
1	1	1	0.1	0.1	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	Gender=Tourney,3=Tourney,5	3533.46	3686.2	36593.5	35961.2	33060	32275	3686.2	00:21:29.858
2	2	2	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=RankRoulette	3983.03	4139.38	36556.4	35865.1	32573.3	31725.8	4139.38	00:25:05.388
3	3	3	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Tourney,5	4111.79	4323.15	36585	35828.6	32473.2	31505.5	4323.15	00:19:32.684
4	4	4	0.166667	0.1	76	250000	reverseSubsequence	subsequence	Std=Random	Gender=Tourney,5=Tourney,5	4427.72	4864.92	36794.6	36501.5	32366.9	31636.6	4864.92	00:00:46.617
5	5	5	0.1	0.0333333	76	250000	reverseSubsequence	subsequence	Std=RankRoulette	GGA=Random	4523.34	4984.24	36970.2	36082.4	32446.9	31098.2	4984.24	00:22:31.809
6	6	6	0.1	0.1	100	250000	reverseSubsequence	subsequence	Std=Random	NoGender=Tourney,5	5318.83	5627.99	37515.2	36482.8	32196.3	30854.8	5627.99	00:00:53.613
7	7	7	0.3	0.1	100	250000	reverseSubsequence	subsequence	Std=RankRoulette	NoGender=Random	5577.59	6172.59	36490.4	35769.6	30912.8	29597	6172.59	00:25:26.471
