Method	eil76	xqf131	a280	bcl380	ali535	rat783	nrw1379
Plain GA (selection for survival)	0.9677421960704482	0.9338720604566375	0.903606103758714	0.9337702599356944	0.824989023622974	0.9213268639941142	0.9734078479048274
Plain GA (selection for breeding)	0.9525778292627365	0.9589752544053863	0.8616852893193943	0.7545437351468255	0.7546824998076305	0.6739022648987942	0.770809576316178
GGA	0.9508216320839613	0.9178625058494031	0.7328107002085025	0.7225389985773845	0.672873411820087	0.6367699638098923	0.7477750866247601
SexualGA	0.9517053854020754	0.923051886825398	0.7173196340596087	0.6758574753098094	0.6929590501925958	0.5926046554233545	0.674751120702925
DSEA (no gender, best operators)	0.9332628915697688	0.8888285129594837	0.6452769420939994	0.5729933309760129	0.5538793005897823	0.5084063121131447	0.6014020174223361
DSEA (no gender, different operators)	0.9668422863845442	0.9132765737513707	0.6827231356691438	0.6033254664616345	0.677629464669645	0.5391439127482527	0.6443468508797557
DSEA (harem gender selection)	0.946218682900585	0.8815130921865942	0.5331813711910236	0.44978002911016635	0.427099882767767	0.3873853701234593	0.4838907789788488
