Method;eil76;xqf131;a280;bcl380;ali535;rat783;nrw1379
Plain GA (selection for survival);1.0;1.0;1.0;1.0;1.0;1.0;1.0
GGA;0.9796849831408301;0.9951440236835828;0.807529740352105;0.7716272102478862;0.7441475168995456;0.6652042132540504;0.7774073113411462
SexualGA;0.9757282886690546;0.9624009091801945;0.7860136506717601;0.7149781774568401;0.7347926973825728;0.6091026879450264;0.7035943628317889
DSEA with Harem;0.9668762147569031;0.9167524869165042;0.5632627470802369;0.4740244551829162;0.4768154711506337;0.3932182458657011;0.5045517067917974
