Method	eil76	xqf131	a280	bcl380	ali535	rat783	nrw1379
Plain GA (selection for survival)	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Plain GA (selection for breeding)	0.9939284369845108	0.9905166332581351	0.9117712337932699	0.8315541046156882	0.8436511277378705	0.7249973464464919	0.7956723746336315
GGA	0.9774747920271556	0.9801951430746558	0.8074795183221305	0.7623393390183131	0.7308501826378611	0.6691883906670525	0.7809171072513484
SexualGA	0.973497094277253	0.9557135573451043	0.7881488969784158	0.7103752251103965	0.7246672007749096	0.6129025222571345	0.7032595412893031
DSEA (no gender, different operators)	0.9828694032322428	0.9138464976916683	0.700378609303388	0.6337332554869374	0.682393438616026	0.5535574338029275	0.6560722150493047
DSEA (no gender, best operators)	0.9697261980350624	0.9415045712649378	0.6706066659214366	0.6005246408512668	0.6030738382014131	0.5317081469181703	0.6364320337263254
DSEA (gender)	0.9750109459391778	0.9028167932000252	0.5971885383607205	0.499537033229995	0.5225943628948667	0.43317334465516166	0.5425364483691298
DSEA (harem gender selection)	0.9653203565387244	0.9128002402620533	0.5643093093822852	0.4697887457136513	0.4714897093636417	0.39578077722218746	0.5039754717633126
