Method;eil76;xqf131;a280;bcl380;ali535;rat783;nrw1379
Plain GA (selection for survival);0.9677421960704482;0.938005977017945;0.903606103758714;0.9418530001642289;0.8341716362238384;0.9162974381518137;0.9742020168674889
GGA;0.9508216320839613;0.9338894111374574;0.7328107002085025;0.7287933153842708;0.6803628882776424;0.6332939039697368;0.7483851698145834
SexualGA;0.9517053854020754;0.9271379063600521;0.7173196340596087;0.6817077156085511;0.7006720916076652;0.5893696893274643;0.6753016262271373
DSEA with Harem;0.946218682900585;0.8854152343804806;0.5331813711910236;0.453673337016043;0.43185375542913634;0.385270674386724;0.4842855683149017
