noByBest;noByAvgBest;noByScore;cp;mp;popSize;maxEvals;mutation;crossover;natSel;genSel;totalBest;avgBest;totalWorst;avgWorst;span;avgSpan;score;duration
0;0;0;0.166667;0.166667;76;250000;reverseSubsequence;subsequence;Std=RankRoulette;Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5;308071;320848;1.46232e+06;1.45271e+06;1.15424e+06;1.13187e+06;320848;01:45:43.296
1;1;1;0.166667;0.1;76;250000;reverseSubsequence;subsequence;Std=Random;Gender=Tourney,5=Tourney,5;429583;447581;1.49452e+06;1.46896e+06;1.06493e+06;1.02138e+06;447581;00:16:13.403
2;2;2;0.1;0.0333333;76;250000;reverseSubsequence;subsequence;Std=RankRoulette;GGA=Random;476074;493966;1.48409e+06;1.46123e+06;1.00802e+06;967267;493966;02:27:36. 78
3;3;3;0.3;0.1;100;250000;reverseSubsequence;subsequence;Std=RankRoulette;NoGender=Random;619724;636135;1.48431e+06;1.45618e+06;864591;820043;636135;02:34:19.356
