noByBest;noByAvgBest;noByScore;cp;mp;popSize;maxEvals;mutation;crossover;natSel;genSel;totalBest;avgBest;totalWorst;avgWorst;span;avgSpan;score;duration
0;0;0;0.166667;0.166667;76;250000;reverseSubsequence;subsequence;Std=RankRoulette;Harem=3=0.8=Tourney,5=Tourney,5=Tourney,5;585.663;598.449;2736.82;2714.03;2151.15;2115.58;598.449;00:04:37.176
2;1;1;0.166667;0.1;76;250000;reverseSubsequence;subsequence;Std=Random;Gender=Tourney,5=Tourney,5;589.059;603.928;2834.51;2782.45;2245.45;2178.52;603.928;00:00:05.731
1;2;2;0.1;0.0333333;76;250000;reverseSubsequence;subsequence;Std=RankRoulette;GGA=Random;588.512;607.759;2806.68;2746.19;2218.17;2138.43;607.759;00:05:15.977
3;3;3;0.3;0.1;100;250000;reverseSubsequence;subsequence;Std=RankRoulette;NoGender=Random;598.985;618.951;2780.28;2709.28;2181.3;2090.33;618.951;00:06:06.775
